   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1       1     1.19999997E+001   7.18850223E+003   6.24176128E-002   2.84783354E+003   2.84777112E+003  -6.94283284E-002  -1.66704246E+002  -1.66634818E+002   2.84779022E+003  -5.03255995E-002   2.84784055E+003   4.33148839E-002  -1.66685144E+002  -1.66641829E+002
       2       1     1.19999997E+001   7.18828748E+003   6.97870645E-002   2.84772113E+003   2.84765134E+003  -7.32884946E-002  -1.66760491E+002  -1.66687203E+002   2.84767218E+003  -5.24458718E-002   2.84772463E+003   4.89444417E-002  -1.66739649E+002  -1.66690704E+002
       3       1     1.19999997E+001   7.18806957E+003   7.72648977E-002   2.84760706E+003   2.84752980E+003  -7.72056623E-002  -1.66817562E+002  -1.66740357E+002   2.84755240E+003  -5.45979929E-002   2.84760700E+003   5.46572282E-002  -1.66794955E+002  -1.66740297E+002
       4       1     1.19999997E+001   7.18785010E+003   8.47967651E-002   2.84749217E+003   2.84740738E+003  -8.11511207E-002  -1.66875046E+002  -1.66793895E+002   2.84743176E+003  -5.67658215E-002   2.84748853E+003   6.04114659E-002  -1.66850661E+002  -1.66790250E+002
       5       1     1.19999997E+001   7.18762904E+003   9.23826770E-002   2.84737646E+003   2.84728407E+003  -8.51248758E-002  -1.66932943E+002  -1.66847818E+002   2.84731025E+003  -5.89493611E-002   2.84736920E+003   6.62071622E-002  -1.66906768E+002  -1.66840561E+002
       6       1     1.19999997E+001   7.18740641E+003   1.00022683E-001   2.84725991E+003   2.84715989E+003  -8.91269479E-002  -1.66991254E+002  -1.66902127E+002   2.84718787E+003  -6.11486140E-002   2.84724902E+003   7.20443488E-002  -1.66963275E+002  -1.66891231E+002
       7       1     1.19999997E+001   7.18718221E+003   1.07716821E-001   2.84714255E+003   2.84703483E+003  -9.31573523E-002  -1.67049978E+002  -1.66956821E+002   2.84706462E+003  -6.33635803E-002   2.84712799E+003   7.79230493E-002  -1.67020184E+002  -1.66942261E+002
       8       1     1.19999997E+001   7.18695642E+003   1.15465102E-001   2.84702435E+003   2.84690889E+003  -9.72160886E-002  -1.67109116E+002  -1.67011900E+002   2.84694051E+003  -6.55942527E-002   2.84700610E+003   8.38432657E-002  -1.67077494E+002  -1.66993651E+002
       9       1     1.19999997E+001   7.18672906E+003   1.23267524E-001   2.84690533E+003   2.84678206E+003  -1.01303155E-001  -1.67168667E+002  -1.67067364E+002   2.84681552E+003  -6.78406266E-002   2.84688336E+003   8.98049957E-002  -1.67135205E+002  -1.67045400E+002
      10       1     1.19999997E+001   7.18650012E+003   1.31124088E-001   2.84678548E+003   2.84665435E+003  -1.05418548E-001  -1.67228632E+002  -1.67123214E+002   2.84668967E+003  -7.01026955E-002   2.84675977E+003   9.58082357E-002  -1.67193316E+002  -1.67097508E+002
