   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
       1       1     1.19996231E+001   1.00002270E+000   4.35520629E-004   1.19999997E+001   0.00000000E+000  -1.57436722E-020  -5.66814385E-021  -1.19999997E+001  -2.25881969E-021   7.52918175E-020   3.76459088E-020   1.15618191E-004   1.35439253E-004  -2.51057444E-004   1.25528614E-004   6.94496219E-006   7.05750848E-006
       2       1     1.19992412E+001   1.00002270E+000   8.77269646E-004   1.19999997E+001   0.00000000E+000  -8.70890996E-021   9.66165983E-021  -1.19999997E+001   5.76472904E-021  -1.88229544E-020  -9.41147719E-020   2.32895499E-004   2.72810145E-004  -5.05705644E-004   2.52852605E-004   1.39919266E-005   1.42075196E-005
       3       1     1.19988536E+001   1.00002270E+000   1.32547936E-003   1.19999997E+001   0.00000000E+000   1.07809925E-020   4.89314670E-021  -1.19999997E+001  -5.30162098E-021  -1.88229544E-020  -3.76459088E-020   3.51886956E-004   4.12191105E-004  -7.64078061E-004   3.82038702E-004   2.11412610E-005   2.14641620E-005
       4       1     1.19984632E+001   1.00002270E+000   1.77697666E-003   1.19999997E+001   0.00000000E+000  -1.10465411E-020   1.37061027E-021  -1.19999997E+001  -7.34580543E-022  -9.41147719E-020  -1.88229544E-020   4.71751143E-004   5.52594461E-004  -1.02434560E-003   5.12172362E-004   2.83435949E-005   2.87741591E-005
       5       1     1.19980700E+001   1.00002270E+000   2.23176072E-003   1.19999997E+001   0.00000000E+000   1.46733009E-021   2.15971688E-021  -1.19999997E+001  -6.37706349E-021  -3.76459088E-020   3.76459088E-020   5.92487915E-004   6.94019879E-004  -1.28650779E-003   6.43253345E-004   3.55989137E-005   3.61374451E-005
       6       1     1.19976740E+001   1.00002270E+000   2.68982565E-003   1.19999997E+001   0.00000000E+000  -1.02605939E-020   1.13943770E-020  -1.19999997E+001   2.11036294E-021  -7.52918175E-020  -1.88229544E-020   7.14095826E-004   8.36465412E-004  -1.55056124E-003   7.75279953E-004   4.29071137E-005   4.35539830E-005
       7       1     1.19972751E+001   1.00002270E+000   3.15116603E-003   1.19999997E+001   0.00000000E+000  -4.89366728E-021  -5.03820848E-022  -1.19999997E+001   4.31171933E-021   3.76459088E-020   1.88229544E-020   8.36573605E-004   9.79929224E-004  -1.81650283E-003   9.08250634E-004   5.02681325E-005   5.10236806E-005
       8       1     1.19968734E+001   1.00002270E+000   3.61578000E-003   1.19999997E+001   0.00000000E+000   3.25932139E-021   3.77499885E-021  -1.19999997E+001   9.37383850E-021   3.76459088E-020   0.00000000E+000   9.59920905E-004   1.12441058E-003  -2.08433148E-003   1.04216485E-003   5.76819251E-005   5.85465911E-005
       9       1     1.19964688E+001   1.00002270E+000   4.08366884E-003   1.19999997E+001   0.00000000E+000  -1.86171286E-021  -1.01710186E-021  -1.19999997E+001  -7.00065936E-021  -3.76459088E-020   0.00000000E+000   1.08413776E-003   1.26991018E-003  -2.35404794E-003   1.17702296E-003   6.51485029E-005   6.61227104E-005
      10       1     1.19960615E+001   1.00002270E+000   4.55483588E-003   1.19999997E+001   0.00000000E+000   1.41302302E-020  -9.48211650E-021  -1.19999997E+001   9.27291367E-021  -7.52918175E-020  -1.88229544E-020   1.20922542E-003   1.41642871E-003  -2.62565413E-003   1.31282594E-003   7.26678560E-005   7.37521221E-005
