   iLoop  B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1   0.00000000E+000   2.80571029E+003   2.80662657E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.80380377E+003   0.00000000E+000   2.80627094E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       2   0.00000000E+000   2.82614350E+003   2.82691794E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.82440276E+003   0.00000000E+000   2.82661525E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       3   0.00000000E+000   2.85754302E+003   2.85817019E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85553311E+003   0.00000000E+000   2.85760131E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       4   0.00000000E+000   2.85847768E+003   2.85906905E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85644708E+003   0.00000000E+000   2.85850629E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       5   0.00000000E+000   2.85956852E+003   2.86035431E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85765876E+003   0.00000000E+000   2.85964346E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       6   0.00000000E+000   2.86082009E+003   2.86165755E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85894860E+003   0.00000000E+000   2.86097906E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       7   0.00000000E+000   2.86166314E+003   2.86247232E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85974960E+003   0.00000000E+000   2.86180148E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       8   0.00000000E+000   2.86306834E+003   2.86397383E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86113852E+003   0.00000000E+000   2.86337667E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       9   0.00000000E+000   2.86380085E+003   2.86474233E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86193295E+003   0.00000000E+000   2.86411561E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      10   0.00000000E+000   2.86467507E+003   2.86558116E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86281219E+003   0.00000000E+000   2.86498486E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      11   0.00000000E+000   2.86547191E+003   2.86638036E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86359644E+003   0.00000000E+000   2.86579637E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      12   0.00000000E+000   2.86607027E+003   2.86700528E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86418194E+003   0.00000000E+000   2.86638848E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      13   0.00000000E+000   2.86669654E+003   2.86761416E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86481066E+003   0.00000000E+000   2.86695624E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      14   0.00000000E+000   2.86747435E+003   2.86836841E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86556149E+003   0.00000000E+000   2.86771022E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      15   0.00000000E+000   2.86836184E+003   2.86930553E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86655906E+003   0.00000000E+000   2.86864992E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      16   0.00000000E+000   2.86922448E+003   2.87022984E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86745636E+003   0.00000000E+000   2.86947613E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      17   0.00000000E+000   2.86985928E+003   2.87086291E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86809983E+003   0.00000000E+000   2.87006826E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      18   0.00000000E+000   2.87058180E+003   2.87163172E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86884854E+003   0.00000000E+000   2.87083278E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      19   0.00000000E+000   2.87174278E+003   2.87277135E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87011362E+003   0.00000000E+000   2.87211518E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      20   0.00000000E+000   2.87250454E+003   2.87352153E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87092293E+003   0.00000000E+000   2.87287154E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      21   0.00000000E+000   2.87327786E+003   2.87437249E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87173072E+003   0.00000000E+000   2.87369749E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      22   0.00000000E+000   2.87415594E+003   2.87535830E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87263369E+003   0.00000000E+000   2.87467715E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      23   0.00000000E+000   2.87460115E+003   2.87586145E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87309496E+003   0.00000000E+000   2.87512164E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      24   0.00000000E+000   2.87514032E+003   2.87640234E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87362053E+003   0.00000000E+000   2.87569118E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      25   0.00000000E+000   2.87565235E+003   2.87697614E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87420345E+003   0.00000000E+000   2.87626926E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      26   0.00000000E+000   2.87628809E+003   2.87766362E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87502521E+003   0.00000000E+000   2.87692900E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      27   0.00000000E+000   2.87672904E+003   2.87815037E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87558551E+003   0.00000000E+000   2.87740563E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      28   0.00000000E+000   2.87718708E+003   2.87866208E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87610751E+003   0.00000000E+000   2.87788483E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      29   0.00000000E+000   2.87773680E+003   2.87929085E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87681544E+003   0.00000000E+000   2.87852631E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      30   0.00000000E+000   2.87842942E+003   2.88006219E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87749740E+003   0.00000000E+000   2.87937690E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      31   0.00000000E+000   2.87886871E+003   2.88050987E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87799719E+003   0.00000000E+000   2.87981861E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      32   0.00000000E+000   2.87938241E+003   2.88100742E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87858549E+003   0.00000000E+000   2.88039179E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      33   0.00000000E+000   2.87978172E+003   2.88147971E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87906187E+003   0.00000000E+000   2.88083546E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      34   0.00000000E+000   2.88025623E+003   2.88192328E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87954049E+003   0.00000000E+000   2.88131357E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      35   0.00000000E+000   2.88081547E+003   2.88250270E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88014631E+003   0.00000000E+000   2.88187095E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      36   0.00000000E+000   2.88157744E+003   2.88328760E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88095272E+003   0.00000000E+000   2.88263690E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      37   0.00000000E+000   2.88239160E+003   2.88413881E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88180066E+003   0.00000000E+000   2.88336899E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      38   0.00000000E+000   2.88362119E+003   2.88539324E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88309155E+003   0.00000000E+000   2.88460217E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      39   0.00000000E+000   2.88453735E+003   2.88629973E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88404950E+003   0.00000000E+000   2.88559075E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      40   0.00000000E+000   2.88545874E+003   2.88723356E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88499190E+003   0.00000000E+000   2.88648761E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      41   0.00000000E+000   2.88645502E+003   2.88814489E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88594003E+003   0.00000000E+000   2.88743911E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      42   0.00000000E+000   2.88728382E+003   2.88922156E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88693087E+003   0.00000000E+000   2.88845782E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      43   0.00000000E+000   2.88793133E+003   2.88994224E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88758056E+003   0.00000000E+000   2.88919472E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      44   0.00000000E+000   2.88823556E+003   2.89040274E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88799687E+003   0.00000000E+000   2.88975455E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      45   0.00000000E+000   2.88837743E+003   2.89072899E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.88821673E+003   0.00000000E+000   2.89015012E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      46   0.00000000E+000   2.77840684E+003   2.81152696E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.79044268E+003   0.00000000E+000   2.81486731E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      47   0.00000000E+000   2.64987937E+003   2.71594989E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.68138875E+003   0.00000000E+000   2.72257520E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      48   0.00000000E+000   2.60828479E+003   2.69324401E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.64543749E+003   0.00000000E+000   2.68654735E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      49   0.00000000E+000   2.60338793E+003   2.69135594E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.64490777E+003   0.00000000E+000   2.68610167E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      50   0.00000000E+000   2.60171342E+003   2.68953866E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.64248237E+003   0.00000000E+000   2.68460258E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      51   0.00000000E+000   2.60128639E+003   2.68924908E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.64081246E+003   0.00000000E+000   2.68324140E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      52   0.00000000E+000   2.59676013E+003   2.68676095E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.63948825E+003   0.00000000E+000   2.68192092E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      53   0.00000000E+000   2.59474248E+003   2.68591100E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.63680834E+003   0.00000000E+000   2.67891961E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      54   0.00000000E+000   2.59110438E+003   2.68512144E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.63526236E+003   0.00000000E+000   2.67877261E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      55   0.00000000E+000   2.58840496E+003   2.68249536E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.63292818E+003   0.00000000E+000   2.67340942E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      56   0.00000000E+000   2.58376914E+003   2.68079725E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.63165906E+003   0.00000000E+000   2.67357536E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      57   0.00000000E+000   2.57788022E+003   2.67920939E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.62921487E+003   0.00000000E+000   2.67072672E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
