    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
         1     1.19999997E+001   7.18850216E+003  -7.10909004E-021  -1.30931110E-020  -1.19999997E+001   1.30359735E-020   1.16361151E-020   7.70667633E-021  -6.98629603E+003  -6.98628857E+003  -1.41660948E+004  -2.04123973E+002   1.83972626E-003  -3.92732922E-003   4.32609079E-004   1.19996258E+001   0.00000000E+000   7.67568812E+014   0.00000000E+000   1.00000000E-014   1.00000000E-014
         2     1.19999997E+001   7.18828735E+003   5.35773155E-021  -2.03312723E-020  -1.19999997E+001  -2.10999505E-020   2.08184817E-020   1.30760711E-021  -6.98636954E+003  -6.98636213E+003  -1.41659477E+004  -2.04188906E+002   8.00660731E-003  -1.00635864E-002   8.71676613E-004   1.19992463E+001   0.00000000E+000   7.72938011E+014   0.00000000E+000   1.00000000E-014   2.00000000E-014
         3     1.19999997E+001   7.18806939E+003   9.52539834E-021   1.62047991E-020  -1.19999997E+001   2.47757137E-021  -1.45954365E-020   4.99537681E-020  -6.98644414E+003  -6.98643676E+003  -1.41657985E+004  -2.04254791E+002   1.42654870E-002  -1.62906192E-002   1.31718201E-003   1.19988613E+001   0.00000000E+000   7.78306917E+014   0.00000000E+000   1.00000000E-014   3.00000000E-014
         4     1.19999997E+001   7.18784986E+003  -1.70419059E-020   2.90644797E-020  -1.19999997E+001  -1.07223287E-020  -2.50404115E-021  -3.05831834E-020  -6.98651927E+003  -6.98651194E+003  -1.41656482E+004  -2.04321153E+002   2.05700903E-002  -2.25628954E-002   1.76590926E-003   1.19984735E+001   0.00000000E+000   7.83677404E+014   0.00000000E+000   1.00000000E-014   4.00000000E-014
         5     1.19999997E+001   7.18762875E+003  -1.02557368E-020   2.98682511E-020  -1.19999997E+001   1.24149677E-020   2.38978269E-020   1.43042689E-020  -6.98659495E+003  -6.98658765E+003  -1.41654968E+004  -2.04387991E+002   2.69204348E-002  -2.88804390E-002   2.21785840E-003   1.19980828E+001   0.00000000E+000   7.89049443E+014   0.00000000E+000   1.00000000E-014   5.00000000E-014
         6     1.19999997E+001   7.18740607E+003  -5.31687916E-021   4.44659210E-021  -1.19999997E+001   1.08073422E-020   2.08535541E-020   2.73221065E-020  -6.98667116E+003  -6.98666391E+003  -1.41653443E+004  -2.04455306E+002   3.33165623E-002  -3.52433042E-002   2.67303201E-003   1.19976895E+001   0.00000000E+000   7.94423033E+014   0.00000000E+000   1.00000000E-014   6.00000000E-014
         7     1.19999997E+001   7.18718181E+003  -1.00350760E-020  -1.70149398E-020  -1.19999997E+001   1.38235942E-020   3.99693672E-022  -1.54901150E-020  -6.98674792E+003  -6.98674071E+003  -1.41651907E+004  -2.04523098E+002   3.97585053E-002  -4.16515344E-002   3.13143190E-003   1.19972933E+001   0.00000000E+000   7.99798162E+014   0.00000000E+000   1.00000000E-014   7.00000000E-014
         8     1.19999997E+001   7.18695597E+003   2.14607874E-021  -6.83466253E-021  -1.19999997E+001   2.06393143E-020  -1.57733417E-020  -1.49077799E-020  -6.98682521E+003  -6.98681804E+003  -1.41650361E+004  -2.04591367E+002   4.62462743E-002  -4.81051499E-002   3.59305839E-003   1.19968943E+001   0.00000000E+000   8.05174802E+014   0.00000000E+000   1.00000000E-014   8.00000000E-014
         9     1.19999997E+001   7.18672856E+003   1.04617565E-020   2.30142326E-020  -1.19999997E+001   1.08442655E-020   3.15943289E-020  -2.47333621E-020  -6.98690304E+003  -6.98689592E+003  -1.41648804E+004  -2.04660113E+002   5.27798729E-002  -5.46041629E-002   4.05791104E-003   1.19964926E+001   0.00000000E+000   8.10552922E+014   0.00000000E+000   1.00000000E-014   9.00000000E-014
        10     1.19999997E+001   7.18649958E+003  -1.96677907E-020   1.56657255E-020  -1.19999997E+001   2.44607440E-020   3.33095707E-020   2.79626752E-020  -6.98698142E+003  -6.98697434E+003  -1.41647236E+004  -2.04729336E+002   5.93593073E-002  -6.11485830E-002   4.52598970E-003   1.19960880E+001   0.00000000E+000   8.15932492E+014   0.00000000E+000   1.00000000E-014   1.00000000E-013
        11     1.19999997E+001   7.18626901E+003  -1.57534480E-021  -9.54103206E-021  -1.19999997E+001  -2.14003619E-020  -7.42742016E-021   2.57286258E-021  -6.98706033E+003  -6.98705330E+003  -1.41645657E+004  -2.04799037E+002   6.59845898E-002  -6.77384454E-002   4.99729572E-003   1.19956807E+001   0.00000000E+000   8.21313501E+014   0.00000000E+000   1.00000000E-014   1.10000000E-013
        12     1.19999997E+001   7.18603687E+003  -5.57540412E-021   6.24628896E-021  -1.19999997E+001   3.61072609E-021   2.93496916E-020  -3.30554608E-020  -6.98713978E+003  -6.98713280E+003  -1.41644068E+004  -2.04869215E+002   7.26557155E-002  -7.43737528E-002   5.47182871E-003   1.19952706E+001   0.00000000E+000   8.26695915E+014   0.00000000E+000   1.00000000E-014   1.20000000E-013
        13     1.19999997E+001   7.18580316E+003  -1.74445360E-020   1.28771342E-020  -1.19999997E+001  -1.16355154E-020   2.88097081E-020  -2.32298786E-020  -6.98721978E+003  -6.98721284E+003  -1.41642468E+004  -2.04939870E+002   7.93726952E-002  -8.10545238E-002   5.94958963E-003   1.19948578E+001   0.00000000E+000   8.32079719E+014   0.00000000E+000   1.00000000E-014   1.30000000E-013
        14     1.19999997E+001   7.18556787E+003   8.02778784E-021   6.17945277E-021  -1.19999997E+001   6.31451068E-021   1.84547303E-020  -2.60144994E-020  -6.98730031E+003  -6.98729343E+003  -1.41640856E+004  -2.05011003E+002   8.61355442E-002  -8.77807848E-002   6.43057988E-003   1.19944421E+001   0.00000000E+000   8.37464904E+014   0.00000000E+000   1.00000000E-014   1.40000000E-013
        15     1.19999997E+001   7.18533100E+003   1.94732585E-020   5.25052894E-021  -1.19999997E+001   3.34708295E-021   1.07149668E-020   6.36545260E-020  -6.98738139E+003  -6.98737455E+003  -1.41639234E+004  -2.05082613E+002   9.29442886E-002  -9.45525714E-002   6.91480093E-003   1.19940236E+001   0.00000000E+000   8.42851459E+014   0.00000000E+000   1.00000000E-014   1.50000000E-013
        16     1.19999997E+001   7.18509255E+003   6.40016523E-021   1.33127275E-020  -1.19999997E+001   2.61923742E-020   1.44207359E-020   2.61521422E-020  -6.98746300E+003  -6.98745622E+003  -1.41637602E+004  -2.05154702E+002   9.97989495E-002  -1.01369915E-001   7.40225399E-003   1.19936024E+001   0.00000000E+000   8.48239367E+014   0.00000000E+000   1.00000000E-014   1.60000000E-013
        17     1.19999997E+001   7.18485252E+003   1.01543451E-020   1.44898882E-020  -1.19999997E+001  -1.06107834E-020   3.64118288E-020  -3.56389113E-020  -6.98754516E+003  -6.98753842E+003  -1.41635958E+004  -2.05227268E+002   1.06699528E-001  -1.08232831E-001   7.89293968E-003   1.19931784E+001   0.00000000E+000   8.53628613E+014   0.00000000E+000   1.00000000E-014   1.70000000E-013
        18     1.19999997E+001   7.18461092E+003   1.83086089E-020   2.39077531E-020  -1.19999997E+001  -3.18762321E-021  -1.69618348E-020  -3.05355377E-020  -6.98762786E+003  -6.98762117E+003  -1.41634303E+004  -2.05300312E+002   1.13645969E-001  -1.15141278E-001   8.38685382E-003   1.19927516E+001   0.00000000E+000   8.59019136E+014   0.00000000E+000   1.00000000E-014   1.80000000E-013
        19     1.19999997E+001   7.18436774E+003   1.01238635E-021   1.88531005E-020  -1.19999997E+001   1.74875701E-020  -4.78573615E-021  -1.93547028E-020  -6.98771109E+003  -6.98770446E+003  -1.41632638E+004  -2.05373833E+002   1.20638257E-001  -1.22095306E-001   8.88399384E-003   1.19923220E+001   0.00000000E+000   8.64410890E+014   0.00000000E+000   1.00000000E-014   1.90000000E-013
        20     1.19999997E+001   7.18412298E+003   5.38450118E-021   1.30744168E-020  -1.19999997E+001  -7.77276806E-021   4.93396692E-021  -2.12181753E-020  -6.98779487E+003  -6.98778829E+003  -1.41630962E+004  -2.05447831E+002   1.27676413E-001  -1.29095035E-001   9.38436164E-003   1.19918896E+001   0.00000000E+000   8.69803867E+014   0.00000000E+000   1.00000000E-014   2.00000000E-013
        21     1.19999997E+001   7.18387665E+003  -1.65352991E-020   2.45096924E-020  -1.19999997E+001   5.49723556E-021  -1.98840984E-020   5.23889878E-020  -6.98787919E+003  -6.98787267E+003  -1.41629275E+004  -2.05522307E+002   1.34760459E-001  -1.36140554E-001   9.88795881E-003   1.19914544E+001   0.00000000E+000   8.75198060E+014   0.00000000E+000   1.00000000E-014   2.10000000E-013
        22     1.19999997E+001   7.18362874E+003  -3.78708100E-021   4.97711266E-020  -1.19999997E+001   1.59513509E-021   2.86720653E-020   4.46386363E-020  -6.98796404E+003  -6.98795758E+003  -1.41627577E+004  -2.05597261E+002   1.41890415E-001  -1.43231931E-001   1.03947862E-002   1.19910165E+001   0.00000000E+000   8.80593453E+014   0.00000000E+000   1.00000000E-014   2.20000000E-013
        23     1.19999997E+001   7.18337926E+003  -1.65999846E-020  -2.72733028E-020  -1.19999997E+001   9.62279886E-021   3.12766916E-020   3.02179004E-020  -6.98804944E+003  -6.98804304E+003  -1.41625869E+004  -2.05672692E+002   1.49066285E-001  -1.50369214E-001   1.09048440E-002   1.19905757E+001   0.00000000E+000   8.85990031E+014   0.00000000E+000   1.00000000E-014   2.30000000E-013
        24     1.19999997E+001   7.18312819E+003  -3.87867057E-021  -6.32586373E-021  -1.19999997E+001   6.58102827E-021   7.39036246E-021  -3.05143619E-020  -6.98813538E+003  -6.98812903E+003  -1.41624150E+004  -2.05748601E+002   1.56288100E-001  -1.57552461E-001   1.14181337E-002   1.19901322E+001   0.00000000E+000   8.91387789E+014   0.00000000E+000   1.00000000E-014   2.40000000E-013
        25     1.19999997E+001   7.18287555E+003  -1.81197842E-020   2.48746445E-020  -1.19999997E+001  -2.09684288E-020   2.09640654E-020  -2.53051093E-020  -6.98822186E+003  -6.98821557E+003  -1.41622419E+004  -2.05824988E+002   1.63555892E-001  -1.64781731E-001   1.19346570E-002   1.19896859E+001   0.00000000E+000   8.96786726E+014   0.00000000E+000   1.00000000E-014   2.50000000E-013
        26     1.19999997E+001   7.18262133E+003  -2.62977674E-020   1.17031995E-020  -1.19999997E+001   1.23323117E-020   2.58345049E-020  -3.55753838E-021  -6.98830888E+003  -6.98830266E+003  -1.41620678E+004  -2.05901854E+002   1.70869698E-001  -1.72057074E-001   1.24544162E-002   1.19892368E+001   0.00000000E+000   9.02186844E+014   0.00000000E+000   1.00000000E-014   2.60000000E-013
