   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
       1       1     1.19996256E+001   1.00002270E+000   4.31964393E-004   1.19999997E+001   0.00000000E+000  -4.46229819E-021   3.88584636E-021  -1.19999997E+001  -1.59530984E-020  -1.09531948E-020  -1.63847936E-021   1.24608783E-004   1.24785900E-004  -2.49394684E-004   1.24697344E-004  -1.62685008E-007   5.13974984E-008
       2       1     1.19992460E+001   1.00002270E+000   8.70355240E-004   1.19999997E+001   0.00000000E+000   7.87201940E-021  -5.51746012E-021  -1.19999997E+001   1.67833292E-020  -5.07094803E-021  -7.52271136E-021   2.51080148E-004   2.51419547E-004  -5.02499694E-004   2.51249851E-004  -3.12857035E-007   9.87448421E-008
       3       1     1.19988608E+001   1.00002270E+000   1.31518223E-003   1.19999997E+001   0.00000000E+000   7.00674712E-021  -4.11566609E-020  -1.19999997E+001  -2.15522012E-020  -1.43730903E-020  -1.00585162E-020   3.79409348E-004   3.79911264E-004  -7.59320612E-004   3.79660311E-004  -4.66615177E-007   1.48329860E-007
       4       1     1.19984728E+001   1.00002270E+000   1.76322574E-003   1.19999997E+001   0.00000000E+000   4.44541337E-021   2.06256659E-020  -1.19999997E+001  -9.68166310E-021  -1.42725052E-020  -1.47277854E-020   5.08666581E-004   5.09332009E-004  -1.01799859E-003   5.08999302E-004  -6.21904520E-007   1.98550015E-007
       5       1     1.19980820E+001   1.00002270E+000   2.21448576E-003   1.19999997E+001   0.00000000E+000   5.17819199E-021   1.38967170E-020  -1.19999997E+001  -2.24681486E-020   2.70521148E-021   1.30760711E-020   6.38851829E-004   6.39681784E-004  -1.27853361E-003   6.39266816E-004  -7.78700820E-007   2.49402490E-007
       6       1     1.19976884E+001   1.00002270E+000   2.66896469E-003   1.19999997E+001   0.00000000E+000  -2.18834767E-021   1.51140787E-020  -1.19999997E+001  -1.95466811E-020   4.13987353E-021  -1.61995051E-020   7.69965798E-004   7.70961285E-004  -1.54092708E-003   7.70463552E-004  -9.36947253E-007   3.00871099E-007
       7       1     1.19972921E+001   1.00002270E+000   3.12666426E-003   1.19999997E+001   0.00000000E+000  -5.56382360E-021   2.30837571E-020  -1.19999997E+001  -1.18974938E-020   3.39871970E-021   9.61382395E-021   9.02008982E-004   9.03171004E-004  -1.80517999E-003   9.02590005E-004  -1.09659445E-006   3.52943974E-007
       8       1     1.19968929E+001   1.00002270E+000   3.58758462E-003   1.19999997E+001   0.00000000E+000  -1.48679511E-021   1.98933215E-020  -1.19999997E+001  -7.14820534E-021  -1.12973019E-020  -1.99899776E-020   1.03498142E-003   1.03631099E-003  -2.07129241E-003   1.03564622E-003  -1.25758648E-006   4.05596172E-007
       9       1     1.19964910E+001   1.00002270E+000   4.05172519E-003   1.19999997E+001   0.00000000E+000   8.92538221E-021  -2.86743814E-020  -1.19999997E+001   5.16547409E-021  -7.94093388E-022  -1.86559007E-020   1.16888294E-003   1.17038109E-003  -2.33926402E-003   1.16963203E-003  -1.41988002E-006   4.58811140E-007
      10       1     1.19960863E+001   1.00002270E+000   4.51908566E-003   1.19999997E+001   0.00000000E+000   6.84522976E-021   2.30052990E-020  -1.19999997E+001   1.41040498E-021  -1.89523622E-020   1.86347248E-020   1.30371343E-003   1.30538121E-003  -2.60909465E-003   1.30454734E-003  -1.58343329E-006   5.12565344E-007
      11       1     1.19956788E+001   1.00002270E+000   4.98966721E-003   1.19999997E+001   0.00000000E+000   6.35700708E-021  -3.90797344E-021  -1.19999997E+001  -2.36164821E-020   7.47506576E-021  -1.75335820E-020   1.43947325E-003   1.44131171E-003  -2.88078496E-003   1.44039250E-003  -1.74816328E-006   5.66826958E-007
      12       1     1.19952685E+001   1.00002270E+000   5.46346924E-003   1.19999997E+001   0.00000000E+000   2.31112195E-021   2.94192162E-020  -1.19999997E+001  -1.73111842E-020  -7.70799982E-021  -1.55642304E-020   1.57616220E-003   1.57817242E-003  -3.15433462E-003   1.57716733E-003  -1.91400508E-006   6.21561875E-007
      13       1     1.19948555E+001   1.00002270E+000   5.94049245E-003   1.19999997E+001   0.00000000E+000  -8.19446474E-021  -1.76496354E-020  -1.19999997E+001   2.12272847E-020   4.67985703E-021   2.96461532E-022   1.71378050E-003   1.71596354E-003  -3.42974403E-003   1.71487204E-003  -2.08089080E-006   6.76735323E-007
      14       1     1.19944396E+001   1.00002270E+000   6.42073806E-003   1.19999997E+001   0.00000000E+000   5.30379937E-021   1.73499893E-020  -1.19999997E+001   2.11105798E-021   1.70041864E-020   3.79047244E-021   1.85232847E-003   1.85468542E-003  -3.70701390E-003   1.85350697E-003  -2.24875527E-006   7.32315638E-007
      15       1     1.19940210E+001   1.00002270E+000   6.90420738E-003   1.19999997E+001   0.00000000E+000   4.78453674E-021  -1.78477038E-020  -1.19999997E+001  -1.95829013E-020   1.18372854E-020  -1.63477359E-020   1.99180652E-003   1.99433844E-003  -3.98614496E-003   1.99307251E-003  -2.41754442E-006   7.88284989E-007
      16       1     1.19935996E+001   1.00002270E+000   7.39090143E-003   1.19999997E+001   0.00000000E+000   7.60803504E-021   1.71432355E-020  -1.19999997E+001   1.06090773E-020   1.04608569E-020  -1.74065271E-020   2.13221493E-003   2.13492291E-003  -4.26713783E-003   2.13356895E-003  -2.58720587E-006   8.44617745E-007
