   iLoop  B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1   0.00000000E+000   2.79183584E+003   2.78476467E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.78698812E+003   0.00000000E+000   2.78384490E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       2   0.00000000E+000   2.81339008E+003   2.80701746E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.80895932E+003   0.00000000E+000   2.80619017E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       3   0.00000000E+000   2.84555922E+003   2.83922975E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84104975E+003   0.00000000E+000   2.83840971E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       4   0.00000000E+000   2.84626775E+003   2.83998028E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84174835E+003   0.00000000E+000   2.83917370E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       5   0.00000000E+000   2.84695966E+003   2.84071556E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84243228E+003   0.00000000E+000   2.83992257E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       6   0.00000000E+000   2.84765034E+003   2.84145211E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84311777E+003   0.00000000E+000   2.84067293E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       7   0.00000000E+000   2.84833527E+003   2.84218515E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84380013E+003   0.00000000E+000   2.84142006E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       8   0.00000000E+000   2.84900525E+003   2.84290556E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84447012E+003   0.00000000E+000   2.84215440E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       9   0.00000000E+000   2.84965629E+003   2.84360905E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84512349E+003   0.00000000E+000   2.84287156E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      10   0.00000000E+000   2.85029072E+003   2.84429762E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84576209E+003   0.00000000E+000   2.84357341E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      11   0.00000000E+000   2.85091767E+003   2.84498160E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84639678E+003   0.00000000E+000   2.84427023E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      12   0.00000000E+000   2.85152820E+003   2.84564986E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84701744E+003   0.00000000E+000   2.84495074E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      13   0.00000000E+000   2.85213030E+003   2.84631105E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84763215E+003   0.00000000E+000   2.84562366E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      14   0.00000000E+000   2.85272587E+003   2.84696807E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84824278E+003   0.00000000E+000   2.84629184E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      15   0.00000000E+000   2.85331461E+003   2.84762157E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84884872E+003   0.00000000E+000   2.84695607E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      16   0.00000000E+000   2.85389600E+003   2.84826990E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84944975E+003   0.00000000E+000   2.84761460E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      17   0.00000000E+000   2.85446631E+003   2.84890979E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85004223E+003   0.00000000E+000   2.84826424E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      18   0.00000000E+000   2.85499971E+003   2.84951476E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85059959E+003   0.00000000E+000   2.84887840E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      19   0.00000000E+000   2.85551216E+003   2.85009772E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85113747E+003   0.00000000E+000   2.84947231E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      20   0.00000000E+000   2.85602968E+003   2.85068405E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85168478E+003   0.00000000E+000   2.85007314E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      21   0.00000000E+000   2.85654769E+003   2.85127109E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85223596E+003   0.00000000E+000   2.85067705E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      22   0.00000000E+000   2.85706160E+003   2.85185434E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85278560E+003   0.00000000E+000   2.85127883E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      23   0.00000000E+000   2.85756626E+003   2.85242959E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85332820E+003   0.00000000E+000   2.85187403E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      24   0.00000000E+000   2.85806922E+003   2.85300383E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85387118E+003   0.00000000E+000   2.85246883E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      25   0.00000000E+000   2.85857076E+003   2.85357865E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85441468E+003   0.00000000E+000   2.85306493E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      26   0.00000000E+000   2.85907351E+003   2.85415624E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85496130E+003   0.00000000E+000   2.85366402E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      27   0.00000000E+000   2.85957623E+003   2.85473534E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85550972E+003   0.00000000E+000   2.85426479E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      28   0.00000000E+000   2.86007464E+003   2.85531256E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85605519E+003   0.00000000E+000   2.85486364E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      29   0.00000000E+000   2.86056714E+003   2.85588596E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85659537E+003   0.00000000E+000   2.85545843E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      30   0.00000000E+000   2.86105130E+003   2.85645375E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85712832E+003   0.00000000E+000   2.85604688E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      31   0.00000000E+000   2.86153272E+003   2.85702283E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85765950E+003   0.00000000E+000   2.85663595E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      32   0.00000000E+000   2.86201426E+003   2.85759596E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85819111E+003   0.00000000E+000   2.85722805E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      33   0.00000000E+000   2.86249932E+003   2.85817759E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85872663E+003   0.00000000E+000   2.85782787E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      34   0.00000000E+000   2.86298872E+003   2.85876887E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85926659E+003   0.00000000E+000   2.85843662E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      35   0.00000000E+000   2.86347932E+003   2.85936645E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85980754E+003   0.00000000E+000   2.85905077E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      36   0.00000000E+000   2.86397076E+003   2.85997017E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86034904E+003   0.00000000E+000   2.85967019E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      37   0.00000000E+000   2.86446696E+003   2.86058420E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86089531E+003   0.00000000E+000   2.86029831E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      38   0.00000000E+000   2.86497293E+003   2.86121359E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86145114E+003   0.00000000E+000   2.86094082E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      39   0.00000000E+000   2.86550931E+003   2.86187954E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86203319E+003   0.00000000E+000   2.86162777E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      40   0.00000000E+000   2.86618208E+003   2.86267707E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86275886E+003   0.00000000E+000   2.86247346E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      41   0.00000000E+000   2.86700167E+003   2.86359227E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86364265E+003   0.00000000E+000   2.86345974E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      42   0.00000000E+000   2.86791179E+003   2.86457268E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86462650E+003   0.00000000E+000   2.86452554E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      43   0.00000000E+000   2.86886656E+003   2.86557716E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86566139E+003   0.00000000E+000   2.86562173E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      44   0.00000000E+000   2.86980448E+003   2.86655323E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86668459E+003   0.00000000E+000   2.86668783E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      45   0.00000000E+000   2.87069488E+003   2.86744296E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86767369E+003   0.00000000E+000   2.86770219E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      46   0.00000000E+000   2.82270763E+003   2.84068833E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.82105827E+003   0.00000000E+000   2.84092966E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      47   0.00000000E+000   2.68441108E+003   2.68821619E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.69499085E+003   0.00000000E+000   2.67695969E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      48   0.00000000E+000   2.63271521E+003   2.66692991E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.64229313E+003   0.00000000E+000   2.65470217E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      49   0.00000000E+000   2.63104669E+003   2.66628531E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.64093434E+003   0.00000000E+000   2.65414448E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      50   0.00000000E+000   2.62987108E+003   2.66595425E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.64033945E+003   0.00000000E+000   2.65337363E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      51   0.00000000E+000   2.62839207E+003   2.66507598E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.64006963E+003   0.00000000E+000   2.65267209E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      52   0.00000000E+000   2.62724375E+003   2.66366638E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.63922487E+003   0.00000000E+000   2.65223947E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      53   0.00000000E+000   2.62560437E+003   2.66226634E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.63824789E+003   0.00000000E+000   2.65107012E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      54   0.00000000E+000   2.62344334E+003   2.66015190E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.63659412E+003   0.00000000E+000   2.64959470E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      55   0.00000000E+000   2.62143643E+003   2.65813545E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.63390609E+003   0.00000000E+000   2.64742551E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      56   0.00000000E+000   2.61681995E+003   2.65503991E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.63147490E+003   0.00000000E+000   2.64357175E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      57   0.00000000E+000   2.61218854E+003   2.65067641E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.62811319E+003   0.00000000E+000   2.63825468E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      58   0.00000000E+000   2.60758800E+003   2.64691841E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.62406227E+003   0.00000000E+000   2.63373993E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      59   0.00000000E+000   2.60290187E+003   2.64039136E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.61882738E+003   0.00000000E+000   2.63084439E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      60   0.00000000E+000   2.59763041E+003   2.63323140E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.61493675E+003   0.00000000E+000   2.62700456E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      61   0.00000000E+000   2.59221359E+003   2.62796176E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.61114783E+003   0.00000000E+000   2.62379375E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      62   0.00000000E+000   2.58738671E+003   2.62228982E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.60779659E+003   0.00000000E+000   2.62254382E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      63   0.00000000E+000   2.58248768E+003   2.61873531E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.60577783E+003   0.00000000E+000   2.61977992E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      64   0.00000000E+000   2.57708234E+003   2.61696841E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.60304370E+003   0.00000000E+000   2.61756408E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      65   0.00000000E+000   2.57417754E+003   2.61402237E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.60101727E+003   0.00000000E+000   2.61493411E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      66   0.00000000E+000   2.57326405E+003   2.61377844E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.60103600E+003   0.00000000E+000   2.61295223E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      67   0.00000000E+000   2.57314696E+003   2.61412650E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.60047704E+003   0.00000000E+000   2.61337593E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      68   0.00000000E+000   2.57307443E+003   2.61313334E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.59995863E+003   0.00000000E+000   2.61096787E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      69   0.00000000E+000   2.57353066E+003   2.61026910E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.59851397E+003   0.00000000E+000   2.61026491E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      70   0.00000000E+000   2.57524382E+003   2.61164493E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.59753505E+003   0.00000000E+000   2.61070335E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
