    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
         1     1.19999997E+001   7.18850237E+003  -6.11642160E-021   2.61323313E-020  -1.19999997E+001  -1.72734957E-021   1.31713623E-020   4.44361425E-021  -6.98629599E+003  -6.98628846E+003  -1.41660949E+004  -2.04123912E+002  -4.25988253E-003   2.14109185E-003   4.31342929E-004   1.19996262E+001   0.00000000E+000   7.67563718E+014   0.00000000E+000   1.00000000E-014   1.00000000E-014
         2     1.19999997E+001   7.18828774E+003   1.00388914E-020   2.74449428E-020  -1.19999997E+001   1.41731711E-020  -4.14252051E-020   1.26042473E-020  -6.98636948E+003  -6.98636192E+003  -1.41659480E+004  -2.04188787E+002  -4.27827809E-003   2.16046970E-003   8.69156826E-004   1.19992470E+001   0.00000000E+000   7.72928198E+014   0.00000000E+000   1.00000000E-014   2.00000000E-014
         3     1.19999997E+001   7.18806998E+003   9.64244440E-022  -1.14829213E-021  -1.19999997E+001   1.26285664E-021  -6.45862622E-021  -7.71263203E-021  -6.98644405E+003  -6.98643645E+003  -1.41657989E+004  -2.04254613E+002  -4.29677362E-003   2.18011931E-003   1.31338784E-003   1.19988623E+001   0.00000000E+000   7.78292414E+014   0.00000000E+000   1.00000000E-014   3.00000000E-014
         4     1.19999997E+001   7.18785064E+003   8.67865491E-021  -1.15409893E-020  -1.19999997E+001   1.06208543E-020  -1.84706122E-020   1.52508944E-020  -6.98651915E+003  -6.98651153E+003  -1.41656487E+004  -2.04320915E+002  -4.31528505E-003   2.19993852E-003   1.76083023E-003   1.19984748E+001   0.00000000E+000   7.83658230E+014   0.00000000E+000   1.00000000E-014   4.00000000E-014
         5     1.19999997E+001   7.18762973E+003   1.71491912E-020  -9.32418666E-021  -1.19999997E+001   8.38856267E-021  -1.82641479E-021  -9.66080781E-021  -6.98659479E+003  -6.98658714E+003  -1.41654974E+004  -2.04387693E+002  -4.33380951E-003   2.21993241E-003   2.21148403E-003   1.19980846E+001   0.00000000E+000   7.89025616E+014   0.00000000E+000   1.00000000E-014   5.00000000E-014
         6     1.19999997E+001   7.18740725E+003   2.52108107E-020  -2.77145210E-020  -1.19999997E+001  -5.62742344E-021  -2.21181478E-020  -1.90509621E-020  -6.98667098E+003  -6.98666329E+003  -1.41653451E+004  -2.04454947E+002  -4.35234017E-003   2.24010335E-003   2.66535186E-003   1.19976915E+001   0.00000000E+000   7.94394572E+014   0.00000000E+000   1.00000000E-014   6.00000000E-014
         7     1.19999997E+001   7.18718319E+003  -4.40938965E-021   1.40725756E-020  -1.19999997E+001  -6.47832346E-021  -1.03020382E-020  -1.77546047E-021  -6.98674770E+003  -6.98673998E+003  -1.41651917E+004  -2.04522677E+002  -4.37087015E-003   2.26045505E-003   3.12243560E-003   1.19972957E+001   0.00000000E+000   7.99765085E+014   0.00000000E+000   1.00000000E-014   7.00000000E-014
         8     1.19999997E+001   7.18695756E+003   2.18917485E-021   1.42185937E-020  -1.19999997E+001  -1.31309132E-020  -2.30498841E-020  -2.53236381E-020  -6.98682496E+003  -6.98681721E+003  -1.41650372E+004  -2.04590885E+002  -4.38939719E-003   2.28099142E-003   3.58273557E-003   1.19968971E+001   0.00000000E+000   8.05137129E+014   0.00000000E+000   1.00000000E-014   8.00000000E-014
         9     1.19999997E+001   7.18673036E+003   5.89002227E-021   9.21359261E-021  -1.19999997E+001  -3.49995627E-021  -3.78994304E-020   1.29506705E-020  -6.98690276E+003  -6.98689498E+003  -1.41648816E+004  -2.04659568E+002  -4.40791664E-003   2.30171633E-003   4.04625135E-003   1.19964957E+001   0.00000000E+000   8.10510670E+014   0.00000000E+000   1.00000000E-014   9.00000000E-014
        10     1.19999997E+001   7.18650158E+003  -1.25915501E-020  -2.33587947E-020  -1.19999997E+001  -7.99561052E-021  -2.50721752E-020   1.08029788E-020  -6.98698110E+003  -6.98697329E+003  -1.41647250E+004  -2.04728728E+002  -4.42642899E-003   2.32263488E-003   4.51298274E-003   1.19960916E+001   0.00000000E+000   8.15885679E+014   0.00000000E+000   1.00000000E-014   1.00000000E-013
