   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1       1     1.19999997E+001   7.18850237E+003   5.51408733E-002   2.84782954E+003   2.84777440E+003  -6.55967961E-002  -1.66701010E+002  -1.66635414E+002   2.84779180E+003  -4.81957331E-002   2.84783999E+003   3.77398103E-002  -1.66683609E+002  -1.66645870E+002
       2       1     1.19999997E+001   7.18828774E+003   5.51276488E-002   2.84771306E+003   2.84765793E+003  -6.55736173E-002  -1.66753974E+002  -1.66688400E+002   2.84767535E+003  -4.81630081E-002   2.84772351E+003   3.77170396E-002  -1.66736563E+002  -1.66698846E+002
       3       1     1.19999997E+001   7.18806998E+003   5.51139253E-002   2.84759488E+003   2.84753976E+003  -6.55502681E-002  -1.66807714E+002  -1.66742164E+002   2.84755718E+003  -4.81303187E-002   2.84760532E+003   3.76939759E-002  -1.66790294E+002  -1.66752600E+002
       4       1     1.19999997E+001   7.18785064E+003   5.51000800E-002   2.84747584E+003   2.84742074E+003  -6.55268615E-002  -1.66861842E+002  -1.66796315E+002   2.84743817E+003  -4.80975197E-002   2.84748627E+003   3.76707382E-002  -1.66844413E+002  -1.66806742E+002
       5       1     1.19999997E+001   7.18762973E+003   5.50861074E-002   2.84735595E+003   2.84730086E+003  -6.55033996E-002  -1.66916359E+002  -1.66850856E+002   2.84731830E+003  -4.80646142E-002   2.84736637E+003   3.76473220E-002  -1.66898920E+002  -1.66861273E+002
       6       1     1.19999997E+001   7.18740725E+003   5.50720035E-002   2.84723520E+003   2.84718013E+003  -6.54798886E-002  -1.66971265E+002  -1.66905785E+002   2.84719758E+003  -4.80316113E-002   2.84724561E+003   3.76237261E-002  -1.66953817E+002  -1.66916193E+002
       7       1     1.19999997E+001   7.18718319E+003   5.50577629E-002   2.84711360E+003   2.84705854E+003  -6.54563347E-002  -1.67026560E+002  -1.66961103E+002   2.84707600E+003  -4.79985199E-002   2.84712400E+003   3.75999481E-002  -1.67009102E+002  -1.66971502E+002
       8       1     1.19999997E+001   7.18695756E+003   5.50433815E-002   2.84699114E+003   2.84693610E+003  -6.54327395E-002  -1.67082243E+002  -1.67016811E+002   2.84695356E+003  -4.79653425E-002   2.84700153E+003   3.75759845E-002  -1.67064776E+002  -1.67027200E+002
       9       1     1.19999997E+001   7.18673036E+003   5.50288564E-002   2.84686783E+003   2.84681280E+003  -6.54091068E-002  -1.67138316E+002  -1.67072907E+002   2.84683027E+003  -4.79320827E-002   2.84687821E+003   3.75518322E-002  -1.67120839E+002  -1.67083287E+002
      10       1     1.19999997E+001   7.18650158E+003   5.50141846E-002   2.84674366E+003   2.84668864E+003  -6.53854355E-002  -1.67194778E+002  -1.67129393E+002   2.84670613E+003  -4.78987370E-002   2.84675403E+003   3.75274861E-002  -1.67177291E+002  -1.67139764E+002
