   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
       1       1     1.19996249E+001   1.00002270E+000   4.33878113E-004   1.19999997E+001   0.00000000E+000   7.80779399E-021  -2.34526235E-020  -1.19999997E+001  -5.55636863E-021  -4.33680869E-020   1.08420217E-019   1.19511476E-004   1.30378194E-004  -2.49889671E-004   1.24944775E-004   1.17443326E-005   1.17383525E-005
       2       1     1.19992446E+001   1.00002270E+000   8.74145164E-004   1.19999997E+001   0.00000000E+000  -1.65114905E-020  -1.00613623E-020  -1.19999997E+001  -1.22082617E-020  -1.51788304E-019  -2.16840434E-020   2.40773440E-004   2.62685594E-004  -5.03459034E-004   2.51729396E-004   2.36591374E-005   2.36472997E-005
       3       1     1.19988586E+001   1.00002270E+000   1.32088729E-003   1.19999997E+001   0.00000000E+000   1.05984791E-020  -4.46436097E-021  -1.19999997E+001   7.59219970E-021   1.30104261E-019   2.16840434E-020   3.63818381E-004   3.96939335E-004  -7.60757716E-004   3.80378675E-004   3.57493851E-005   3.57301675E-005
       4       1     1.19984699E+001   1.00002270E+000   1.77087093E-003   1.19999997E+001   0.00000000E+000   1.31963018E-020   5.39837713E-021  -1.19999997E+001  -9.74682942E-021  -1.95156391E-019   8.67361738E-020   4.87755738E-004   5.32167628E-004  -1.01992337E-003   5.09961438E-004   4.79272108E-005   4.79000029E-005
       5       1     1.19980784E+001   1.00002270E+000   2.22409620E-003   1.19999997E+001   0.00000000E+000  -4.12246590E-021  -2.55231696E-020  -1.19999997E+001  -8.09357455E-021   1.51788304E-019  -2.16840434E-020   6.12585530E-004   6.68370511E-004  -1.28095604E-003   6.40477713E-004   6.01926072E-005   6.01567800E-005
       6       1     1.19976840E+001   1.00002270E+000   2.68056541E-003   1.19999997E+001   0.00000000E+000   1.34200080E-020   1.68796053E-020  -1.19999997E+001   9.83810363E-021   6.50521303E-020  -2.16840434E-020   7.38308376E-004   8.05548708E-004  -1.54385708E-003   7.71928171E-004   7.25456291E-005   7.25005243E-005
       7       1     1.19972869E+001   1.00002270E+000   3.14028027E-003   1.19999997E+001   0.00000000E+000   1.44863081E-020  -5.39977559E-021  -1.19999997E+001  -5.72551156E-021  -2.16840434E-020   4.33680869E-020   8.64924727E-004   9.43702751E-004  -1.80862748E-003   9.04313304E-004   8.49863256E-005   8.49312366E-005
       8       1     1.19968870E+001   1.00002270E+000   3.60324075E-003   1.19999997E+001   0.00000000E+000  -4.71706465E-021  -2.87772387E-020  -1.19999997E+001   4.30099539E-021   0.00000000E+000  -6.50521303E-020   9.92434564E-004   1.08283265E-003  -2.07526721E-003   1.03763311E-003   9.75147118E-005   9.74488880E-005
       9       1     1.19964842E+001   1.00002270E+000   4.06944617E-003   1.19999997E+001   0.00000000E+000   1.23730503E-020  -1.79243227E-020  -1.19999997E+001   1.96194730E-020   4.33680869E-020   0.00000000E+000   1.12083768E-003   1.22293819E-003  -2.34377588E-003   1.17188737E-003   1.10130788E-004   1.10053431E-004
      10       1     1.19960787E+001   1.00002270E+000   4.53889609E-003   1.19999997E+001   0.00000000E+000   8.46828996E-021   1.51193261E-020  -1.19999997E+001  -1.27485593E-021  -2.16840434E-020   1.08420217E-019   1.25013395E-003   1.36401928E-003  -2.61415324E-003   1.30707599E-003   1.22834561E-004   1.22744836E-004
      11       1     1.19956704E+001   1.00002270E+000   5.01159154E-003   1.19999997E+001   0.00000000E+000   1.16064865E-020  -2.28677169E-020  -1.19999997E+001  -1.07511550E-020   4.33680869E-020   1.73472348E-019   1.38032363E-003   1.50607624E-003  -2.88639987E-003   1.44319924E-003   1.35626063E-004   1.35523111E-004
