    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
         1     1.19999997E+001   7.18850145E+003   4.06991966E-021  -1.87504636E-020  -1.19999997E+001  -7.11717444E-021  -8.67361738E-020   4.33680869E-020  -6.98629296E+003  -6.98629213E+003  -1.41660943E+004  -2.04124188E+002  -1.14574321E-002  -5.10557753E-003   4.34259757E-004   1.19996246E+001   0.00000000E+000   7.67586616E+014   0.00000000E+000   1.00000000E-014   1.00000000E-014
         2     1.19999997E+001   7.18828598E+003  -4.01508041E-021  -2.81113195E-021  -1.19999997E+001   3.38224071E-021   0.00000000E+000  -8.67361738E-020  -6.98636333E+003  -6.98636928E+003  -1.41659468E+004  -2.04189320E+002  -1.87804220E-002  -1.24363192E-002   8.74881389E-004   1.19992439E+001   0.00000000E+000   7.72972141E+014   0.00000000E+000   1.00000000E-014   2.00000000E-014
         3     1.19999997E+001   7.18806734E+003   1.86676311E-020   1.34979746E-020  -1.19999997E+001   8.26944349E-021  -4.33680869E-020  -4.33680869E-020  -6.98643475E+003  -6.98644756E+003  -1.41657971E+004  -2.04255411E+002  -2.62113090E-002  -1.98742783E-002   1.32198646E-003   1.19988577E+001   0.00000000E+000   7.78357503E+014   0.00000000E+000   1.00000000E-014   3.00000000E-014
         4     1.19999997E+001   7.18784711E+003  -7.65066813E-021  -2.81722207E-021  -1.19999997E+001  -6.04176338E-021   2.16840434E-019   0.00000000E+000  -6.98650668E+003  -6.98652642E+003  -1.41656463E+004  -2.04321983E+002  -3.36963325E-002  -2.73660085E-002   1.77233913E-003   1.19984686E+001   0.00000000E+000   7.83744511E+014   0.00000000E+000   1.00000000E-014   4.00000000E-014
         5     1.19999997E+001   7.18762530E+003   1.13844247E-020   1.94393855E-020  -1.19999997E+001   3.68475229E-021   8.67361738E-020   4.33680869E-020  -6.98657913E+003  -6.98660584E+003  -1.41654944E+004  -2.04389034E+002  -4.12355011E-002  -3.49115016E-002   2.22593926E-003   1.19980767E+001   0.00000000E+000   7.89133132E+014   0.00000000E+000   1.00000000E-014   5.00000000E-014
         6     1.19999997E+001   7.18740190E+003  -2.27874300E-021   3.70237770E-021  -1.19999997E+001  -6.00692098E-021  -1.30104261E-019  -4.33680869E-020  -6.98665209E+003  -6.98668584E+003  -1.41653414E+004  -2.04456565E+002  -4.88288549E-002  -4.25107874E-002   2.68278888E-003   1.19976821E+001   0.00000000E+000   7.94523356E+014   0.00000000E+000   1.00000000E-014   6.00000000E-014
         7     1.19999997E+001   7.18717691E+003   5.70051519E-021   3.88202065E-021  -1.19999997E+001  -7.93270343E-021  -4.33680869E-020  -4.33680869E-020  -6.98672558E+003  -6.98676640E+003  -1.41651874E+004  -2.04524577E+002  -5.64764236E-002  -5.01638793E-002   3.14288937E-003   1.19972846E+001   0.00000000E+000   7.99915166E+014   0.00000000E+000   1.00000000E-014   7.00000000E-014
         8     1.19999997E+001   7.18695033E+003  -8.28240438E-021   2.62239661E-020  -1.19999997E+001  -9.02038002E-021   4.33680869E-020  -8.67361738E-020  -6.98679959E+003  -6.98684753E+003  -1.41650323E+004  -2.04593070E+002  -6.41782069E-002  -5.78707633E-002   3.60624042E-003   1.19968844E+001   0.00000000E+000   8.05308524E+014   0.00000000E+000   1.00000000E-014   8.00000000E-014
         9     1.19999997E+001   7.18672217E+003  -1.22546859E-020  -1.16690783E-020  -1.19999997E+001  -4.12988855E-021  -1.30104261E-019  -4.33680869E-020  -6.98687411E+003  -6.98692923E+003  -1.41648760E+004  -2.04662043E+002  -7.19341937E-002  -6.56314104E-002   4.07284102E-003   1.19964813E+001   0.00000000E+000   8.10703390E+014   0.00000000E+000   1.00000000E-014   9.00000000E-014
        10     1.19999997E+001   7.18649243E+003  -1.01221575E-020  -1.20519905E-020  -1.19999997E+001  -5.97407351E-021  -8.67361738E-020   4.33680869E-020  -6.98694916E+003  -6.98701150E+003  -1.41647187E+004  -2.04731496E+002  -7.97443771E-002  -7.34458059E-002   4.54269048E-003   1.19960754E+001   0.00000000E+000   8.16099729E+014   0.00000000E+000   1.00000000E-014   1.00000000E-013
