   iLoop  B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1   0.00000000E+000   2.79054028E+003   2.79954434E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.79284531E+003   0.00000000E+000   2.80136694E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       2   0.00000000E+000   2.81234429E+003   2.82045291E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.81445521E+003   0.00000000E+000   2.82216173E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       3   0.00000000E+000   2.84467422E+003   2.85281454E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84673266E+003   0.00000000E+000   2.85458876E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       4   0.00000000E+000   2.84547128E+003   2.85356447E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84748869E+003   0.00000000E+000   2.85535618E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       5   0.00000000E+000   2.84625316E+003   2.85429998E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84822947E+003   0.00000000E+000   2.85610715E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       6   0.00000000E+000   2.84703438E+003   2.85503481E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84896927E+003   0.00000000E+000   2.85685443E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       7   0.00000000E+000   2.84781092E+003   2.85576495E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.84970395E+003   0.00000000E+000   2.85759404E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       8   0.00000000E+000   2.84857169E+003   2.85647973E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85042245E+003   0.00000000E+000   2.85831598E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
       9   0.00000000E+000   2.84931315E+003   2.85717599E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85112098E+003   0.00000000E+000   2.85901678E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      10   0.00000000E+000   2.85003722E+003   2.85785591E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85180207E+003   0.00000000E+000   2.85969877E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      11   0.00000000E+000   2.85075370E+003   2.85852836E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85247427E+003   0.00000000E+000   2.86037013E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      12   0.00000000E+000   2.85145261E+003   2.85918535E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85312684E+003   0.00000000E+000   2.86102127E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      13   0.00000000E+000   2.85214174E+003   2.85983379E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85376821E+003   0.00000000E+000   2.86165931E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      14   0.00000000E+000   2.85282297E+003   2.86047453E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85440140E+003   0.00000000E+000   2.86228623E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      15   0.00000000E+000   2.85349804E+003   2.86110896E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85502803E+003   0.00000000E+000   2.86290385E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      16   0.00000000E+000   2.85416643E+003   2.86173601E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85564740E+003   0.00000000E+000   2.86351082E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      17   0.00000000E+000   2.85482184E+003   2.86234965E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85625347E+003   0.00000000E+000   2.86410072E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      18   0.00000000E+000   2.85543766E+003   2.86292514E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85682027E+003   0.00000000E+000   2.86465043E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      19   0.00000000E+000   2.85602744E+003   2.86348036E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85736074E+003   0.00000000E+000   2.86517529E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      20   0.00000000E+000   2.85661312E+003   2.86404061E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85789649E+003   0.00000000E+000   2.86569103E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      21   0.00000000E+000   2.85719180E+003   2.86460116E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85842650E+003   0.00000000E+000   2.86619661E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      22   0.00000000E+000   2.85776100E+003   2.86515727E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85894922E+003   0.00000000E+000   2.86668879E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      23   0.00000000E+000   2.85831653E+003   2.86570318E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85946102E+003   0.00000000E+000   2.86716202E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      24   0.00000000E+000   2.85886635E+003   2.86624524E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.85997015E+003   0.00000000E+000   2.86762435E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      25   0.00000000E+000   2.85941272E+003   2.86678399E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86047784E+003   0.00000000E+000   2.86807665E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      26   0.00000000E+000   2.85995819E+003   2.86732079E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86098569E+003   0.00000000E+000   2.86852047E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      27   0.00000000E+000   2.86049887E+003   2.86785046E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86148928E+003   0.00000000E+000   2.86895194E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      28   0.00000000E+000   2.86103037E+003   2.86836874E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86198452E+003   0.00000000E+000   2.86936805E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      29   0.00000000E+000   2.86155242E+003   2.86887277E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86247071E+003   0.00000000E+000   2.86976814E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      30   0.00000000E+000   2.86206578E+003   2.86936263E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86294864E+003   0.00000000E+000   2.87015238E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      31   0.00000000E+000   2.86257213E+003   2.86983896E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86342131E+003   0.00000000E+000   2.87052376E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      32   0.00000000E+000   2.86307177E+003   2.87030298E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86388975E+003   0.00000000E+000   2.87088517E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      33   0.00000000E+000   2.86356587E+003   2.87075517E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86435564E+003   0.00000000E+000   2.87123841E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      34   0.00000000E+000   2.86405202E+003   2.87119173E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86481668E+003   0.00000000E+000   2.87158307E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      35   0.00000000E+000   2.86452450E+003   2.87160978E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86526642E+003   0.00000000E+000   2.87191616E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      36   0.00000000E+000   2.86498386E+003   2.87201242E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86570461E+003   0.00000000E+000   2.87224013E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      37   0.00000000E+000   2.86543457E+003   2.87240226E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86613581E+003   0.00000000E+000   2.87255884E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      38   0.00000000E+000   2.86587689E+003   2.87277877E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86656099E+003   0.00000000E+000   2.87287497E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      39   0.00000000E+000   2.86630842E+003   2.87313583E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86697620E+003   0.00000000E+000   2.87318369E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      40   0.00000000E+000   2.86675035E+003   2.87350626E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86739434E+003   0.00000000E+000   2.87349517E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      41   0.00000000E+000   2.86721585E+003   2.87392219E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86782719E+003   0.00000000E+000   2.87383829E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      42   0.00000000E+000   2.86769397E+003   2.87437806E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86827207E+003   0.00000000E+000   2.87419595E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      43   0.00000000E+000   2.86817123E+003   2.87487818E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86872576E+003   0.00000000E+000   2.87456586E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      44   0.00000000E+000   2.86863636E+003   2.87535848E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86917702E+003   0.00000000E+000   2.87493449E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      45   0.00000000E+000   2.86906410E+003   2.87578454E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.86961780E+003   0.00000000E+000   2.87529214E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      46   0.00000000E+000   2.86944715E+003   2.87616641E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.87003167E+003   0.00000000E+000   2.87563464E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      47   0.00000000E+000   2.83233492E+003   2.82967080E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.83661335E+003   0.00000000E+000   2.86198895E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      48   0.00000000E+000   2.79049934E+003   2.77564340E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.79896327E+003   0.00000000E+000   2.82413163E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      49   0.00000000E+000   2.79115894E+003   2.77161399E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.79802589E+003   0.00000000E+000   2.81797528E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      50   0.00000000E+000   2.79419712E+003   2.76817289E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.79480734E+003   0.00000000E+000   2.81904515E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      51   0.00000000E+000   2.79328010E+003   2.75436162E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.79623858E+003   0.00000000E+000   2.82067663E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      52   0.00000000E+000   2.78340238E+003   2.73427476E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.79284531E+003   0.00000000E+000   2.81442040E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      53   0.00000000E+000   2.77066873E+003   2.73359433E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.78157711E+003   0.00000000E+000   2.81399499E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      54   0.00000000E+000   2.77062136E+003   2.72934608E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.78115938E+003   0.00000000E+000   2.81349490E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      55   0.00000000E+000   2.76916156E+003   2.72586033E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.78225208E+003   0.00000000E+000   2.81285860E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      56   0.00000000E+000   2.76997661E+003   2.71793770E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.78554296E+003   0.00000000E+000   2.81205771E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      57   0.00000000E+000   2.76956460E+003   2.71502868E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.78398759E+003   0.00000000E+000   2.80665609E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
      58   0.00000000E+000   2.76066428E+003   2.71719210E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000   2.78223771E+003   0.00000000E+000   2.79178303E+003   0.00000000E+000   0.00000000E+000   0.00000000E+000
