   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
       1       1     1.19999997E+001   7.18850165E+003   5.32417399E-002   2.84783115E+003   2.84777791E+003  -5.97282646E-002  -1.66697286E+002  -1.66637557E+002   2.84778748E+003  -5.01634643E-002   2.84783764E+003   4.36769396E-002  -1.66687721E+002  -1.66644044E+002
       2       1     1.19999997E+001   7.18828636E+003   5.12949571E-002   2.84771634E+003   2.84766505E+003  -5.37484146E-002  -1.66746453E+002  -1.66692705E+002   2.84766667E+003  -5.21272596E-002   2.84771880E+003   4.96738021E-002  -1.66744832E+002  -1.66695158E+002
       3       1     1.19999997E+001   7.18806791E+003   4.93189435E-002   2.84759984E+003   2.84755052E+003  -4.76801379E-002  -1.66796344E+002  -1.66748664E+002   2.84754408E+003  -5.41192002E-002   2.84759820E+003   5.57580057E-002  -1.66802783E+002  -1.66747025E+002
       4       1     1.19999997E+001   7.18784787E+003   4.73281544E-002   2.84748250E+003   2.84743517E+003  -4.15673731E-002  -1.66846596E+002  -1.66805029E+002   2.84742061E+003  -5.61251172E-002   2.84747674E+003   6.18858985E-002  -1.66861154E+002  -1.66799268E+002
       5       1     1.19999997E+001   7.18762625E+003   4.53225770E-002   2.84736430E+003   2.84731898E+003  -3.54101223E-002  -1.66897211E+002  -1.66861800E+002   2.84729625E+003  -5.81449967E-002   2.84735439E+003   6.80574514E-002  -1.66919945E+002  -1.66851888E+002
       6       1     1.19999997E+001   7.18740305E+003   4.33021828E-002   2.84724527E+003   2.84720196E+003  -2.92083619E-002  -1.66948187E+002  -1.66918979E+002   2.84717099E+003  -6.01788407E-002   2.84723117E+003   7.42726616E-002  -1.66979158E+002  -1.66904885E+002
       7       1     1.19999997E+001   7.18717826E+003   4.12669547E-002   2.84712538E+003   2.84708411E+003  -2.29620841E-002  -1.66999526E+002  -1.66976564E+002   2.84704485E+003  -6.22266552E-002   2.84710708E+003   8.05315258E-002  -1.67038791E+002  -1.66958259E+002
       8       1     1.19999997E+001   7.18695188E+003   3.92168880E-002   2.84700465E+003   2.84696543E+003  -1.66713056E-002  -1.67051227E+002  -1.67034556E+002   2.84691781E+003  -6.42884396E-002   2.84698210E+003   8.68340220E-002  -1.67098844E+002  -1.67012010E+002
       9       1     1.19999997E+001   7.18672392E+003   3.71519855E-002   2.84688307E+003   2.84684592E+003  -1.03360561E-002  -1.67103291E+002  -1.67092955E+002   2.84678989E+003  -6.63641946E-002   2.84685625E+003   9.31801241E-002  -1.67159319E+002  -1.67066139E+002
      10       1     1.19999997E+001   7.18649438E+003   3.50722501E-002   2.84676064E+003   2.84672557E+003  -3.95636383E-003  -1.67155716E+002  -1.67151760E+002   2.84666107E+003  -6.84539255E-002   2.84672953E+003   9.95698117E-002  -1.67220214E+002  -1.67120644E+002
      11       1     1.19999997E+001   7.18626325E+003   3.29776715E-002   2.84663737E+003   2.84660439E+003   2.46775535E-003  -1.67208505E+002  -1.67210972E+002   2.84653137E+003  -7.05576470E-002   2.84660193E+003   1.06003074E-001  -1.67281530E+002  -1.67175527E+002
      12       1     1.19999997E+001   7.18603054E+003   3.08682591E-002   2.84651325E+003   2.84648239E+003   8.93625179E-003  -1.67261655E+002  -1.67270591E+002   2.84640077E+003  -7.26753709E-002   2.84647345E+003   1.12479882E-001  -1.67343267E+002  -1.67230787E+002
      13       1     1.19999997E+001   7.18579624E+003   2.87440128E-002   2.84638829E+003   2.84635954E+003   1.54490958E-002  -1.67315168E+002  -1.67330617E+002   2.84626929E+003  -7.48071129E-002   2.84634409E+003   1.19000221E-001  -1.67405424E+002  -1.67286424E+002
      14       1     1.19999997E+001   7.18556036E+003   2.66049230E-002   2.84626248E+003   2.84623587E+003   2.20062676E-002  -1.67369043E+002  -1.67391049E+002   2.84613691E+003  -7.69528919E-002   2.84621386E+003   1.25564082E-001  -1.67468002E+002  -1.67342438E+002
      15       1     1.19999997E+001   7.18532289E+003   2.44509808E-002   2.84613582E+003   2.84611136E+003   2.86077481E-002  -1.67423281E+002  -1.67451888E+002   2.84600364E+003  -7.91127256E-002   2.84608276E+003   1.32171455E-001  -1.67531001E+002  -1.67398830E+002
      16       1     1.19999997E+001   7.18508384E+003   2.22821812E-002   2.84600831E+003   2.84598603E+003   3.52535113E-002  -1.67477881E+002  -1.67513134E+002   2.84586949E+003  -8.12866337E-002   2.84595077E+003   1.38822326E-001  -1.67594421E+002  -1.67455599E+002
      17       1     1.19999997E+001   7.18484320E+003   2.00985168E-002   2.84587995E+003   2.84585986E+003   4.19435204E-002  -1.67532844E+002  -1.67574787E+002   2.84573444E+003  -8.34746306E-002   2.84581791E+003   1.45516668E-001  -1.67658262E+002  -1.67512745E+002
      18       1     1.19999997E+001   7.18460098E+003   1.79000100E-002   2.84575075E+003   2.84573285E+003   4.86776819E-002  -1.67588169E+002  -1.67636847E+002   2.84559850E+003  -8.56767060E-002   2.84568417E+003   1.52254398E-001  -1.67722524E+002  -1.67570269E+002
      19       1     1.19999997E+001   7.18435718E+003   1.56866624E-002   2.84562071E+003   2.84560502E+003   5.54559387E-002  -1.67643856E+002  -1.67699312E+002   2.84546167E+003  -8.78928760E-002   2.84554956E+003   1.59035477E-001  -1.67787205E+002  -1.67628170E+002
      20       1     1.19999997E+001   7.18411180E+003   1.34584075E-002   2.84548981E+003   2.84547636E+003   6.22782929E-002  -1.67699905E+002  -1.67762184E+002   2.84532395E+003  -9.01231677E-002   2.84541408E+003   1.65859868E-001  -1.67852307E+002  -1.67686447E+002
      21       1     1.19999997E+001   7.18386483E+003   1.12151752E-002   2.84535807E+003   2.84534686E+003   6.91447593E-002  -1.67756316E+002  -1.67825461E+002   2.84518535E+003  -9.23675868E-002   2.84527772E+003   1.72727521E-001  -1.67917829E+002  -1.67745101E+002
      22       1     1.19999997E+001   7.18361628E+003   8.95689543E-003   2.84522549E+003   2.84521653E+003   7.60553583E-002  -1.67813089E+002  -1.67889145E+002   2.84504585E+003  -9.46261209E-002   2.84514048E+003   1.79638375E-001  -1.67983771E+002  -1.67804132E+002
      23       1     1.19999997E+001   7.18336615E+003   6.68350716E-003   2.84509206E+003   2.84508538E+003   8.30100987E-002  -1.67870224E+002  -1.67953234E+002   2.84490547E+003  -9.68987492E-002   2.84500237E+003   1.86592355E-001  -1.68050133E+002  -1.67863541E+002
